name,startTime,endTime,deadline,priority,urgency,importance,complexity,status,fitnessScore,estimatedHours
Task 39,2024-10-05 11:30:00,2024-10-05 12:30:00,2024-10-05 13:00:00,5,7,8,4,pending,0.61,1.5
Task 40,2024-10-05 14:00:00,2024-10-05 16:00:00,2024-10-05 18:00:00,2,5,5,3,completed,0.76,2.0
Task 41,2024-10-06 08:00:00,2024-10-06 09:30:00,2024-10-06 11:00:00,1,2,4,2,pending,0.88,1.5
Task 42,2024-10-06 10:00:00,2024-10-06 11:00:00,2024-10-06 12:00:00,3,6,5,1,completed,0.74,0.5
Task 43,2024-10-06 11:30:00,2024-10-06 12:30:00,2024-10-06 13:00:00,5,7,6,3,in_progress,0.69,1.0
Task 44,2024-10-06 14:00:00,2024-10-06 16:00:00,2024-10-06 18:00:00,4,5,7,4,pending,0.82,2.0
Task 45,2024-10-07 08:00:00,2024-10-07 09:00:00,2024-10-07 10:00:00,2,4,5,3,completed,0.78,1.0
Task 46,2024-10-07 09:30:00,2024-10-07 10:30:00,2024-10-07 11:00:00,1,6,6,2,pending,0.64,1.0
Task 47,2024-10-07 11:30:00,2024-10-07 12:30:00,2024-10-07 13:00:00,5,7,7,4,in_progress,0.72,2.0
Task 48,2024-10-07 14:00:00,2024-10-07 15:30:00,2024-10-07 16:00:00,4,5,5,3,pending,0.8,2.5
Task 49,2024-10-08 08:00:00,2024-10-08 09:00:00,2024-10-08 10:00:00,3,4,3,1,completed,0.76,1.0
Task 50,2024-10-08 09:30:00,2024-10-08 11:00:00,2024-10-08 12:00:00,2,5,5,3,in_progress,0.7,1.5
Task 51,2024-10-08 12:30:00,2024-10-08 13:30:00,2024-10-08 14:00:00,3,2,4,2,pending,0.81,1.0
Task 52,2024-10-08 14:30:00,2024-10-08 15:30:00,2024-10-08 16:00:00,5,4,3,3,completed,0.79,1.0
Task 53,2024-10-09 08:00:00,2024-10-09 09:00:00,2024-10-09 10:00:00,4,5,7,1,in_progress,0.83,1.0
Task 54,2024-10-09 09:30:00,2024-10-09 10:30:00,2024-10-09 11:00:00,1,3,5,2,pending,0.75,1.0
Task 55,2024-10-09 11:00:00,2024-10-09 12:00:00,2024-10-09 13:00:00,2,4,6,3,completed,0.72,1.0
Task 56,2024-10-09 12:30:00,2024-10-09 13:30:00,2024-10-09 14:00:00,3,2,4,1,in_progress,0.88,1.0
Task 57,2024-10-09 14:00:00,2024-10-09 15:30:00,2024-10-09 16:30:00,4,5,5,2,pending,0.82,1.5
Task 58,2024-10-10 08:00:00,2024-10-10 09:00:00,2024-10-10 10:00:00,5,3,4,3,completed,0.76,1.0
Task 59,2024-10-10 09:30:00,2024-10-10 10:30:00,2024-10-10 11:00:00,1,2,6,2,in_progress,0.84,1.0
Task 60,2024-10-10 11:30:00,2024-10-10 12:30:00,2024-10-10 13:00:00,3,4,7,3,pending,0.77,1.0
Task 61,2024-10-10 13:30:00,2024-10-10 14:30:00,2024-10-10 15:00:00,4,5,5,2,completed,0.78,1.0
Task 62,2024-10-10 15:30:00,2024-10-10 17:00:00,2024-10-10 18:00:00,2,3,3,1,in_progress,0.71,1.5
Task 63,2024-10-11 08:00:00,2024-10-11 09:00:00,2024-10-11 10:00:00,3,4,6,2,pending,0.73,1.0
Task 64,2024-10-11 09:30:00,2024-10-11 10:30:00,2024-10-11 11:00:00,5,5,4,3,completed,0.77,1.0
Task 65,2024-10-11 11:30:00,2024-10-11 12:30:00,2024-10-11 13:00:00,4,6,6,2,in_progress,0.8,1.0
Task 66,2024-10-11 13:30:00,2024-10-11 14:30:00,2024-10-11 15:00:00,2,3,5,3,pending,0.69,1.0
Task 67,2024-10-11 14:30:00,2024-10-11 16:00:00,2024-10-11 17:00:00,1,4,4,2,completed,0.75,1.5
Task 68,2024-10-12 08:00:00,2024-10-12 09:00:00,2024-10-12 10:00:00,3,2,6,3,in_progress,0.81,1.0
Task 69,2024-10-12 09:30:00,2024-10-12 10:30:00,2024-10-12 11:00:00,4,5,3,1,pending,0.76,1.0
Task 70,2024-10-12 11:00:00,2024-10-12 12:00:00,2024-10-12 13:00:00,2,3,5,2,completed,0.74,1.0
Task 71,2024-10-12 12:30:00,2024-10-12 13:30:00,2024-10-12 14:00:00,1,2,6,2,in_progress,0.88,1.0
Task 72,2024-10-12 14:30:00,2024-10-12 15:30:00,2024-10-12 16:00:00,3,4,4,3,pending,0.72,1.0
Task 73,2024-10-12 16:00:00,2024-10-12 17:00:00,2024-10-12 18:00:00,5,3,3,2,completed,0.76,1.0
Task 74,2024-10-13 08:00:00,2024-10-13 09:00:00,2024-10-13 10:00:00,2,5,5,1,in_progress,0.7,1.0
Task 75,2024-10-13 09:30:00,2024-10-13 10:30:00,2024-10-13 11:00:00,4,2,6,3,pending,0.78,1.0
Task 76,2024-10-13 11:30:00,2024-10-13 12:30:00,2024-10-13 13:00:00,1,4,7,2,completed,0.75,1.0
Task 77,2024-10-13 13:30:00,2024-10-13 14:30:00,2024-10-13 15:00:00,5,3,5,3,in_progress,0.82,1.0
Task 78,2024-10-13 15:30:00,2024-10-13 17:00:00,2024-10-13 18:00:00,2,4,4,1,pending,0.76,1.5
Task 79,2024-10-14 08:00:00,2024-10-14 09:00:00,2024-10-14 10:00:00,3,2,5,2,completed,0.81,1.0
Task 80,2024-10-14 09:30:00,2024-10-14 10:30:00,2024-10-14 11:00:00,4,5,6,3,in_progress,0.78,1.0
Task 81,2024-10-14 11:30:00,2024-10-14 12:30:00,2024-10-14 13:00:00,5,3,4,1,pending,0.74,1.0
Task 82,2024-10-14 13:30:00,2024-10-14 14:30:00,2024-10-14 15:00:00,1,4,5,2,completed,0.79,1.0
Task 83,2024-10-14 15:30:00,2024-10-14 17:00:00,2024-10-14 18:00:00,2,3,6,3,in_progress,0.85,1.5
Task 84,2024-10-15 08:00:00,2024-10-15 09:00:00,2024-10-15 10:00:00,4,5,3,2,completed,0.76,1.0
Task 85,2024-10-15 09:30:00,2024-10-15 10:30:00,2024-10-15 11:00:00,3,2,5,1,pending,0.82,1.0
Task 86,2024-10-15 11:30:00,2024-10-15 12:30:00,2024-10-15 13:00:00,2,4,6,3,in_progress,0.89,1.0
Task 87,2024-10-15 13:30:00,2024-10-15 14:30:00,2024-10-15 15:00:00,1,3,7,2,completed,0.77,1.0
Task 88,2024-10-15 15:30:00,2024-10-15 17:00:00,2024-10-15 18:00:00,5,4,4,1,pending,0.73,1.5
Task 89,2024-10-16 08:00:00,2024-10-16 09:00:00,2024-10-16 10:00:00,3,2,5,2,completed,0.8,1.0
Task 90,2024-10-16 09:30:00,2024-10-16 10:30:00,2024-10-16 11:00:00,4,5,6,3,in_progress,0.79,1.0
Task 91,2024-10-16 11:30:00,2024-10-16 12:30:00,2024-10-16 13:00:00,5,3,4,1,pending,0.77,1.0
Task 92,2024-10-16 13:30:00,2024-10-16 14:30:00,2024-10-16 15:00:00,1,4,5,2,completed,0.75,1.0
Task 93,2024-10-16 15:30:00,2024-10-16 17:00:00,2024-10-16 18:00:00,2,4,6,3,in_progress,0.8,1.5
Task 94,2024-10-17 08:00:00,2024-10-17 09:00:00,2024-10-17 10:00:00,4,5,3,1,completed,0.72,1.0
Task 95,2024-10-17 09:30:00,2024-10-17 10:30:00,2024-10-17 11:00:00,3,2,5,2,pending,0.78,1.0
Task 96,2024-10-17 11:30:00,2024-10-17 12:30:00,2024-10-17 13:00:00,1,4,6,3,in_progress,0.84,1.0
Task 97,2024-10-17 13:30:00,2024-10-17 14:30:00,2024-10-17 15:00:00,5,3,7,2,completed,0.75,1.0
Task 98,2024-10-17 15:30:00,2024-10-17 17:00:00,2024-10-17 18:00:00,2,4,5,1,pending,0.79,1.5
Task 99,2024-10-18 08:00:00,2024-10-18 09:00:00,2024-10-18 10:00:00,4,5,6,3,completed,0.83,1.0
Task 100,2024-10-18 09:30:00,2024-10-18 10:30:00,2024-10-18 11:00:00,1,3,4,2,pending,0.76,1.0
